Participante,Preferencia,Genero
1,Golden-Nuss,Femenino
2,Golden-Nuss,Masculino
3,Sahne-Nuss,Masculino
4,Golden-Nuss,Masculino
5,Golden-Nuss,Masculino
6,Sahne-Nuss,Femenino
7,Trencito,Masculino
8,Trencito,Masculino
9,Sahne-Nuss,Femenino
10,Golden-Nuss,Masculino
11,Sahne-Nuss,Masculino
12,Golden-Nuss,Masculino
13,Golden-Nuss,Masculino
14,Golden-Nuss,Femenino
15,Sahne-Nuss,Femenino
16,Golden-Nuss,Masculino
17,Golden-Nuss,Masculino
18,Sahne-Nuss,Femenino
19,Sahne-Nuss,Femenino
20,Golden-Nuss,Femenino
21,Trencito,Femenino
22,Golden-Nuss,Masculino
23,Golden-Nuss,Femenino
24,Golden-Nuss,Masculino
25,Golden-Nuss,Femenino
26,Golden-Nuss,Masculino
27,Golden-Nuss,Masculino
28,Trencito,Masculino
29,Golden-Nuss,Masculino
30,Golden-Nuss,Masculino
31,Trencito,Femenino
32,Sahne-Nuss,Femenino
33,Golden-Nuss,Masculino
34,Golden-Nuss,Femenino
35,Sahne-Nuss,Femenino
36,Sahne-Nuss,Femenino
37,Trencito,Femenino
38,Golden-Nuss,Femenino
39,Golden-Nuss,Masculino
40,Sahne-Nuss,Masculino
41,Golden-Nuss,Femenino
42,Trencito,Masculino
43,Sahne-Nuss,Femenino
44,Sahne-Nuss,Masculino
45,Golden-Nuss,Femenino
46,Sahne-Nuss,Masculino
47,Golden-Nuss,Masculino
48,Trencito,Masculino
49,Golden-Nuss,Masculino
50,Golden-Nuss,Masculino
51,Sahne-Nuss,Femenino
52,Sahne-Nuss,Femenino
53,Golden-Nuss,Masculino
54,Sahne-Nuss,Femenino
55,Sahne-Nuss,Femenino
56,Golden-Nuss,Femenino
57,Sahne-Nuss,Femenino
58,Sahne-Nuss,Femenino
59,Sahne-Nuss,Masculino
60,Golden-Nuss,Femenino
